ID,Lang,Blk,BlkTrlNum,TrlNum,Tar,Cue,TarPos,TarDir,Acc,RT
S106,M,B2,BT27,T123,Congruent,None,Above,Right,1,522.41
S106,M,B2,BT28,T124,Incongruent,Spatial,Above,Right,1,452.81
S106,M,B2,BT29,T125,Incongruent,Double,Above,Left,1,588.71
S106,M,B2,BT30,T126,Congruent,Spatial,Below,Right,1,413.15
S106,M,B2,BT31,T127,Incongruent,Central,Below,Left,1,582.77
S106,M,B2,BT32,T128,Congruent,Double,Below,Left,1,559.19
S106,M,B2,BT33,T129,Congruent,Central,Below,Left,1,450.2
S106,M,B2,BT34,T130,Congruent,Double,Above,Right,1,460.8
S106,M,B2,BT35,T131,Congruent,Double,Above,Right,1,501.11
S106,M,B2,BT36,T132,Incongruent,Spatial,Above,Left,1,620.76
S106,M,B2,BT37,T133,Incongruent,Double,Below,Left,0,541.71
S106,M,B2,BT38,T134,Incongruent,None,Below,Right,1,776.51
S106,M,B2,BT39,T135,Incongruent,Spatial,Below,Left,1,689.91
S106,M,B2,BT40,T136,Congruent,Spatial,Below,Left,1,475.11
S106,M,B2,BT41,T137,Congruent,Spatial,Above,Right,1,440.24
S106,M,B2,BT42,T138,Incongruent,None,Below,Left,1,947.28
S106,M,B2,BT43,T139,Incongruent,Central,Below,Left,1,1220.45
S106,M,B2,BT44,T140,Congruent,None,Below,Left,1,674.41
S106,M,B2,BT45,T141,Congruent,None,Below,Right,1,548.66
S106,M,B2,BT46,T142,Congruent,Spatial,Above,Left,1,427.79
S106,M,B2,BT47,T143,Incongruent,Central,Above,Left,1,714.41
S106,M,B2,BT48,T144,Congruent,None,Below,Left,1,578.71
S106,M,B2,BT49,T145,Congruent,Double,Above,Left,1,573.38
S106,M,B2,BT50,T146,Congruent,Spatial,Below,Left,1,339.9
S106,M,B2,BT51,T147,Congruent,Central,Below,Right,1,505.13
S106,M,B2,BT52,T148,Congruent,Double,Above,Right,1,513.59
S106,M,B2,BT53,T149,Congruent,Spatial,Above,Left,1,644.85
